character,romaji,meaning
スポーツ,supootsu,sport(s)
ズボン,zubon,trousers
住む,sumu,"to reside, to live in"
する,suru,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
座る,suwaru,to sit
背,sei,"(one's) height, stature"
生徒,seito,student; pupil
セーター,seetaa,sweater
石鹸,sekken,soap
背広,sebiro,men's suit
狭い,semai,narrow; not spacious
ゼロ,zero,zero
千,sen,thousand
先月,sengetsu,last month
先週,senshuu,last week
先生,sensei,"teacher, professor; master; doctor"
洗濯,sentaku,"washing, laundry"
全部,zembu,"all, entire, whole"
そう; そうです,sou soudesu,"yes; appears, to be the case"
掃除,souji (suru),"cleaning, sweeping"
そうして; そして,soushite soshite,"and, like that"
そこ,soko,"that place, there; bottom, sole"
そちら,sochira,over there
そっち,socchi,over there
外,soto,"outside, exterior"
その,sono,that
そば,soba,"near, close, beside; Japanese traditional buckwheat noodle"
空,sora,sky
それ,sore,that one
それから,sorekara,"and then, after that"
それでは,soredeha,"in that situation, well then..."
~台,~dai,counter for vehicles; machines
大学,daigaku,college; university
大使館,taishikan,embassy
大丈夫,daijoubu,It's ok (all right); No need to worry; Everything is under control
大好き,daisuki,"very like-able, like very much"
大切,taisetsu,important
台所,daidokoro,kitchen
大変,taihen,"very; difficult, hard"
高い,takai,"tall, high; expensive"
~だけ,~dake,"only ~, just ~, as ~"
沢山,takusan,"many, much"
タクシー,takushii,taxi
出す,dasu,to take (something) out; to hand in (something)
~たち,~tachi,plural suffix
立つ,tatsu,to stand up
たて,tate,"length, height"
建物,tatemono,building
楽しい,tanoshii,"enjoyable, fun"
頼む,tanomu,"to request, to ask (a favor)"
たばこ,tabako,"tobacco, cigarettes"
多分,tabun,"perhaps, probably, maybe"
食べ物,tabemono,food
食べる,taberu,to eat
卵,tamago,egg
誰,dare,who
誰か,dareka,someone
誕生日,tanjoubi,birthday
段々,dandan,"gradually, by degrees"
小さい,chiisai,"small, little"
小さな,chiisana,"small, little"
近い,chikai,"near, close by, short"
違う,chigau,to be different; to differ; wrong
近く,chikaku,nearby; in the neighborhood
地下鉄,chikatetsu,"underground train, subway"
地図,chizu,a map
父,chichi,(my) father
茶色,chairo,brown
茶碗,chawan,rice bowl
~中,~chuu,"during, while ~ing"
丁度,choudo,"just, right, exactly"
ちょっと,chotto,"a little, somewhat; just a little, somewhat"
一日,tsuitachi,one day; first day of the month
使う,tsukau,to use
疲れる,tsukareru,to get (become) tired; to become fatigued
次,tsugi,next
着く,tsuku,"to arrive at, to reach"
机,tsukue,desk
作る,tsukuru,"to make, to create"
つける,tsukeru,"to turn on (e.g., a light); to take"
勤める,tsutomeru,to work (for)
つまらない,tsumaranai,"boring, dull; insignificant"
冷たい,tsumetai,"cold (things, people)"
強い,tsuyoi,"strong, powerful"
手,te,hand
テープ,teepu,tape
テープレコーダー,teepurekoodaa,tape recorder
テーブル,teeburu,table
出かける,dekakeru,to go out; to depart
手紙,tegami,letter
できる,dekiru,to be able to (to accomplish)
出口,deguchi,an exit
テスト,tesuto,test
では,deha,"then, well, so"
デパート,depaato,(abbr.) department store
でも,demo,"but, however"
出る,deru,"to appear, to leave"
テレビ,terebi,"television, TV"
天気,tenki,weather
電気,denki,"electricity, (electric) light"
電車,densha,electric train
電話,denwa,a telephone
戸,to,door (Japanese style)
~度,~do,counter for occurrences; ~ degree; ~ point
ドア,doa,door (Western style)
トイレ,toire,bathroom; toilet
どう,dou,"how, in what way"
どうして,doushite,"why, for what reason"
どうぞ,douzo,"please, kindly, by all means"
動物,doubutsu,animal
どうも,doumo,Thank you; somehow; no matter how hard one may try
十,(o) too,ten (~)
遠い,tooi,"far (away), distant"
十日,tooka,ten days; tenth day of the month
~時,~toki,at the time of ~
時々,tokidoki,sometimes
時計,tokei,a watch; a clock
どこ,doko,"where, what place"
所,tokoro,place
年,toshi,"year, age"
図書館,toshokan,library
どちら,dochira,which (one) (way); where (polite)
どっち,docchi,"which one, which way"
とても,totemo,"very (much), greatly, exceedingly"
どなた,donata,who
隣,tonari,"next to, next door to"
どの,dono,which
飛ぶ,tobu,"to fly, to hop"
止まる,tomaru,to come to a halt
友達,tomodachi,friend
土曜日,doyoubi,Saturday
鳥,tori,"chicken (lit., bird)"
鶏肉,toriniku,chicken meat
取る,toru,to take (a class); to get (a grade)
撮る,toru,"to take (a photo), to make (a film)"
どれ,dore,which one
どんな,donna,"what, what kind of"
ない,nai,"there isn't, doesn't have"
ナイフ,naifu,knife
中,naka,"inside, middle, among"
長い,nagai,"long, lengthy"
鳴く,naku,to make sound (animal)
無くす,nakusu,to lose something
なぜ,naze,why (same as どうして)
夏,natsu,summer
夏休み,natsuyasumi,summer vacation
~など,~nado,et cetera
七つ,nanatsu,seven things
何,nan nani,what
七日,nanoka,seven days; seventh day (of the month)
名前,namae,name
習う,narau,to learn
並ぶ,narabu,"to line up, to stand in a line (v.i.)"
並べる,naraberu,to put (things) side by side; to line up
なる,naru,to become
何~,nan~,what sort of ~
二,ni,two
にぎやか,nigiyaka,"bustling, busy"
肉,niku,meat
西,nishi,west
~日,~nichi,"~ day of the month, for ~ days"
日曜日,nichiyoubi,Sunday
荷物,nimotsu,luggage; baggage
ニュース,nyuusu,news
庭,niwa,garden
~人,~nin,counter for people
脱ぐ,nugu,to take off (clothes)
温い,nurui,lukewarm
ネクタイ,nekutai,"tie, necktie"
猫,neko,cat
寝る,neru,to sleep; to go to sleep; to go to bed
~年,~nen,~ years
ノート,nooto,notebook
登る,noboru,to climb
飲み物,nomimono,"drink, beverage"
飲む,nomu,to drink
乗る,noru,"to get on, to ride in, to board"
歯,ha,tooth
パーティー,paateii,a party
はい,hai,yes
~杯,~hai,counter for cupfuls
灰皿,haizara,ashtray
入る,hairu,"to enter, to contain, to hold"
葉書,hagaki,postcard
はく,haku,to put on (items below your waist)
箱,hako,box
橋,hashi,bridge
箸,hashi,chopsticks
始まる,hajimaru,(something) begins
初め; 始め,hajime,"beginning, start"
初めて,hajimete,for the first time
走る,hashiru,to run
バス,basu,bus; bath; bass
バター,bataa,butter
二十歳,hatachi,20 years old
働く,hataraku,to work
八,hachi,eight
二十日,hatsuka,"twenty days, twentieth (day of the month)"
花,hana,flower
鼻,hana,nose
話,hanashi,"talk (chat), story"
話す,hanasu,to speak
母,haha,(my) mother
早い,hayai,early
速い,hayai,"fast, quick"
春,haru,spring
貼る,haru,to post; to paste; to attach
晴れ,hare,clear (sunny) weather
晴れる,hareru,to be sunny
半,han,"half (e.g., にじはん | half-past two)"
晩,ban,evening
~番,~ban,~st; ~th best
パン,pan,bread
ハンカチ,hankachi,handkerchief
番号,bangou,"number, series of digits"
晩御飯,bangohan,"dinner, evening meal"
半分,hambun,half
東,higashi,east
~匹,~hiki,counter for small animals
引く,hiku,"to pull, to draw; subtract"
弾く,hiku,to play (a string instrument or piano)
低い,hikui,"short, low"
飛行機,hikouki,airplane
左,hidari,left hand side
人,hito,"man, person"
一つ,hitotsu,one thing
一月,hitotsuki,one month
一人,hitori,one person
暇,hima,"free time, leisure"
百,hyaku,hundred
病院,byouin,hospital
病気,byouki,illness; sickness
平仮名,hiragana,hiragana
昼,hiru,"noon, daytime"
昼御飯,hirugohan,"lunch, midday meal"
広い,hiroi,spacious; wide; broad
フィルム,fuirumu,film (roll of)
封筒,fuutou,envelope
プール,puuru,swimming pool
フォーク,fuooku,fork
吹く,fuku,"to blow (wind, etc.)"
服,fuku,clothes
二つ,futatsu,two things
豚肉,butaniku,pork
二人,futari,two people
二日,futsuka,two days; second day of the month
太い,futoi,"fat, thick"
冬,fuyu,winter
降る,furu,"to precipitate, to fall (e.g., rain, snow, etc.)"
古い,furui,"old (in reference to objects, not people), aged, ancient"
~分,~fun,~ minutes
文章,bunshou,"sentence, text"
ページ,peeji,a page
下手,heta,"unskillful, poor"
ベッド,beddo,bed
ペット,petto,pet
部屋,heya,a room
辺,hen,"area, vicinity"
ペン,pen,pen
勉強,benkyou (suru),study
便利,benri,"convenient, handy"
帽子,boushi,hat; cap
ボールペン,boorupen,ball-point pen
外,hoka,"other, the rest"
ポケット,poketto,pocket
欲しい,hoshii,"to want, in need of"
ポスト,posuto,"mailbox; post, position"
細い,hosoi,"thin, slender, fine"
ボタン,botan,button
ホテル,hoteru,hotel
本,hon,book
~本,~hon,counter for long cylindrical things
本棚,hondana,bookshelf
本当,hontou,"real, true"
~枚,~mai,counter for flat things
毎朝,maiasa,every morning
毎月,maigetsu maitsuki,"every month, monthly"
毎週,maishuu,every week
毎日,mainichi,every day
毎年,mainen maitoshi,"every year, yearly, annually"
毎晩,maiban,every night
前,mae,"before, in front"
~前,~mae,in front of ~
曲る,magaru,"to turn, to bend"
まずい,mazui,"terrible (in reference to food), unappetizing, unpleasant (taste)"
また,mata,and; furthermore
まだ,mada,"yet, still, besides"
町,machi,town; city
待つ,matsu,to wait
まっすぐ,massugu,"straight (ahead), direct"
マッチ,macchi,match
窓,mado,window
丸い; 円い,marui,"round, circular"
万,man,ten thousand
万年筆,mannenhitsu,fountain pen
磨く,migaku,to brush (teeth); to polish
右,migi,right hand side
短い,mijikai,short (length)
水,mizu,water
店,mise,"store, shop"
見せる,miseru,"to show, to display"
道,michi,"road, street; way, directions"
三日,mikka,"three days, third day of the month"
三つ,mittsu,three things
緑,midori,green
皆さん,minasan,"all of you, everyone"
南,minami,South
耳,mimi,ear
見る,miru,"to see, to look"
みんな,minna,"all, everyone, everybody"
六日,muika,six days; sixth day of month
向こう,mukou,"beyond, over there"
難しい,muzukashii,difficult
六つ,muttsu,six things
村,mura,village
目,me,eye(s)
メートル,meetoru,meter
眼鏡,megane,eye glasses
もう,mou,already; again; more
木曜日,mokuyoubi,Thursday
もしもし,moshimoshi,Hello? (used on the phone)
持つ,motsu,"to hold, to carry; to possess"
もっと,motto,more
物,mono,thing (concrete object)
門,mon,gate
問題,mondai,a problem
~屋,~ya,~ shop
八百屋,yaoya,greengrocer
野菜,yasai,vegetable
易しい,yasashii,"easy, plain, simple"
安い,yasui,inexpensive; cheap (things)
休み,yasumi,holiday; day off; absence
休む,yasumu,"to rest, to have a break, to get time off"
八つ,yattsu,eight things
山,yama,mountain
やる,yaru,"to do; to give (to pets, parents, siblings, etc.)"
夕方,yuugata,"late afternoon (typically just before dinner time), evening"
夕飯,yuuhan,"dinner, supper, evening meal"
郵便局,yuubinkyoku,post office
昨夜,yuube,last night
有名,yuumei,famous
雪,yuki,snow
ゆっくりと,yukkurito,"slowly, at ease"
八日,youka,eight days; eighth day of the month
洋服,youfuku,Western-style clothes
よく,yoku,"frequently, often (much); well, skillfully"
横,yoko,beside; side; width
四日,yokka,four days; fourth day of the month
四つ,yottsu,four things
呼ぶ,yobu,to call (one's name); to invite
読む,yomu,to read
夜,yoru,"evening, night"
弱い,yowai,weak
来月,raigetsu,next month
来週,raishuu,next week
来年,rainen,next year
ラジオ,rajio,radio
ラジオカセ,rajiokase,radio cassette player
りっぱ,rippa,"splendid, fine"
留学生,ryuugakusei,international student
両親,ryoushin,"parents (lit., both parents)"
料理,ryouri,cooking; cuisine
旅行,ryokou,"travel, trip"
零,rei,"zero, nought"
冷蔵庫,reizouko,refrigerator
レコード,rekoodo,record
レストラン,resutoran,restaurant
練習,renshuu (suru),(to) practice
廊下,rouka,corridor
六,roku,six
ワイシャツ,waishatsu,"shirt (lit: white shirt), business shirt"
若い,wakai,young
分かる,wakaru,to understand
忘れる,wasureru,to forget
私,watashi,"I, myself"
私,watakushi,"I (formal), myself, private affairs"
渡す,watasu,to hand (something) over (v.t.); to get across
渡る,wataru,"to cross over, to go across"
悪い,warui,"bad, sinful; inferior"
