character,romaji,meaning
踊,you,"jump, dance, leap, skip"
冊,satsu/saku,"tome, counter for books, volume"
勇,yuu/isa.,"courage, cheer up, be in high, spirits, bravery, heroism"
械,kai,"contraption, fetter, machine, instrument"
菜,sai,"vegetable, side dish, greens"
珍,chin/taka,"rare, curious, strange"
卵,ran,"egg, ovum, spawn, roe"
湖,ko/mizuu,lake
喫,kitsu,"consume, eat, drink, smoke, receive (a blow)"
干,kan/hi.,"dry, parch"
虫,chuu/ki/mu,"insect, bug, temper"
刷,satsu,"printing, print"
湯,tou,"hot water, bath, hot spring"
溶,you,"melt, dissolve, thaw"
鉱,kou,"mineral, ore"
涙,rui/rei,"tears, sympathy"
匹,hitsu,"equal, head, counter for small, animals, roll of cloth"
孫,son/ma,"grandchild, descendants"
鋭,ei/surudo.,"pointed, sharpness, edge, weapon, sharp, violent"
枝,shi/e,"bough, branch, twig, limb"
塗,to,"paint, plaster, daub, smear, coating"
軒,ken,"flats, counter for houses, eaves"
毒,doku,"poison, virus, venom, germ, harm, injury, spite"
叫,kyou,"shout, exclaim, yell"
拝,hai,"worship, adore, pray to"
氷,hyou/koo.,"icicle, ice, hail, freeze, congeal"
乾,kan/ken,"drought, dry, dessicate, drink up, heaven, emperor"
棒,bou,"rod, stick, cane, pole, club, line"
祈,ki/ino.,"pray, wish"
拾,shuu/juu,"pick up, gather, find, go on foot, ten"
粉,fun,"flour, powder, dust, デシメートル"
糸,shi,thread
綿,men/wa,cotton
汗,kan,"sweat, perspire"
銅,dou,copper
湿,shitsu/shuu,"damp, wet, moist, うるお.す"
瓶,bin/ka,"flower pot, bottle, vial, jar, jug, vat, urn"
咲,shou/-za,"blossom, bloom"
召,shou,"seduce, call, send for, wear, put, on, ride in, buy, eat, drink, catch, (cold)"
缶,kan/ka,"tin can, container"
隻,seki,"vessels, counter for ships, fish, birds, arrows, one of a pair"
脂,shi,"fat, grease, tallow, lard, rosin, gum, tar"
蒸,jou/sei,"steam, heat, sultry, foment, get, musty"
肌,ki,"texture, skin, body, grain"
耕,kou/tagaya.,"till, plow, cultivate"
鈍,don,"dull, slow, foolish, blunt, なま.る なまく.ら"
泥,dei/nai/de/ni,"mud, mire, adhere to, be attached, to"
隅,guu,"corner, nook"
灯,tou,"lamp, a light, light, counter for, lights"
辛,shin,"spicy, bitter, hot, acrid, かのと"
磨,ma/su.,"grind, polish, scour, improve, brush (teeth)"
麦,baku,"barley, wheat"
姓,sei/shou,surname
筒,tou,"cylinder, pipe, tube, gun barrel, sleeve"
鼻,bi,"nose, snout"
粒,ryuu,"grains, drop, counter for tiny, particles"
詞,shi,"part of speech, words, poetry"
胃,i,"stomach, paunch, crop, craw"
畳,jou/chou,"tatami mat, counter for tatami, mats, fold, shut up, do away with"
机,ki,"desk, table"
膚,fu,"skin, body, grain, texture, disposition"
濯,taku,"laundry, wash, pour on, rinse"
